2018-02-24 16:41:37.357000 | Program started.
2018-02-24 16:41:38.204000 | Program started.
2018-02-24 16:41:39.114000 | Program started.
2018-02-24 16:41:40.014000 | Program started.
2018-02-24 16:41:40.769000 | Program started.
2018-02-24 16:41:41.263000 | Program started.
2018-02-24 16:41:42.007000 | Program started.
2018-02-24 16:41:42.498000 | Program started.
2018-02-24 16:41:43.918000 | Program started.
2018-02-24 16:41:44.451000 | Program started.
2018-02-24 16:43:35.386000 | Program started.
2018-02-24 16:47:53.850000 | Program started.
2018-02-24 16:48:41.273000 | Program started.
2018-02-24 16:49:32.240552 | Program started.
2018-02-24 16:50:18.059256 | Program started.
2018-02-24 16:50:26.335340 | Program started.
2018-02-24 17:25:51.953873 | Program started.
2018-02-24 17:26:04.002614 | Program started.
2018-02-24 17:30:22.585684 | Program started.
2018-02-24 17:30:29.111691 | Program started.
2018-02-24 18:26:18.502801 | Program started.
2018-02-24 18:41:11.321501 | Program started.
2018-02-24 18:41:23.051615 | Program started.
2018-02-24 18:41:38.490102 | Program started.
2018-02-24 18:41:53.294009 | Program started.
2018-02-24 18:42:02.730208 | Program started.
2018-02-24 18:42:23.915451 | Program started.
2018-02-24 18:42:37.859040 | Program started.
2018-02-24 18:42:44.013473 | Program started.
2018-02-24 18:43:16.256545 | Program started.
2018-02-24 18:43:39.837066 | Program started.
2018-02-24 18:45:36.658928 | Program started.
2018-02-24 18:45:46.279750 | Program started.
2018-02-24 18:45:59.970052 | Program started.
2018-02-24 18:46:15.859346 | Program started.
2018-02-24 18:46:23.871520 | Program started.
2018-02-24 18:47:51.216225 | Program started.
2018-02-24 18:57:29.823228 | Program started.
2018-02-24 18:58:47.119465 | Program started.
2018-02-24 18:58:51.758945 | Program started.
2018-02-24 19:00:48.886883 | Program started.
2018-02-24 19:08:23.446996 | Program started.
2018-02-24 19:08:40.360970 | Program started.
2018-02-24 19:08:49.718126 | Program started.
2018-02-24 19:09:10.149055 | Program started.
2018-02-24 19:09:56.009495 | Program started.
2018-02-24 19:10:52.930500 | Program started.
2018-02-24 19:11:32.463409 | Program started.
2018-02-24 19:19:01.859094 | Program started.
2018-02-24 19:19:20.823720 | Program started.
2018-02-24 19:21:56.214542 | Program started.
2018-02-24 19:22:38.857994 | Program started.
2018-02-24 19:23:41.378470 | Program started.
2018-02-24 19:23:58.421665 | Program started.
2018-02-24 19:24:08.134897 | Program started.
2018-02-24 19:24:21.480146 | Program started.
2018-02-24 19:24:40.453695 | Program started.
2018-02-24 19:25:03.912168 | Program started.
2018-02-24 19:25:10.566671 | Program started.
2018-02-24 19:25:25.326646 | Program started.
2018-02-24 19:28:22.789514 | Program started.
2018-02-24 19:29:28.684179 | Program started.
2018-02-24 19:30:15.497685 | Program started.
2018-02-24 19:30:39.718311 | Program started.
2018-02-24 19:30:47.250320 | Program started.
2018-02-24 19:31:23.478164 | Program started.
2018-02-24 19:31:41.291751 | Program started.
2018-02-24 19:31:51.837946 | Program started.
2018-02-24 19:32:02.154948 | Program started.
2018-02-24 19:34:15.679663 | Program started.
2018-02-24 19:34:26.788899 | Program started.
2018-02-24 19:34:50.354353 | Program started.
2018-02-24 19:35:43.105851 | Program started.
2018-02-24 19:35:53.638660 | Program started.
2018-02-24 19:36:27.342251 | Program started.
2018-02-24 19:36:46.098639 | Program started.
2018-02-24 19:36:54.261645 | Program started.
2018-02-24 19:37:04.119613 | Program started.
2018-02-24 19:37:11.324954 | Program started.
2018-02-24 19:37:28.403271 | Program started.
2018-02-24 19:37:38.930550 | Program started.
2018-02-24 19:39:07.625768 | Program started.
2018-02-24 19:42:51.573008 | Program started.
2018-02-24 19:57:49.787316 | Program started.
2018-02-24 19:58:02.448076 | Program started.
2018-02-24 19:59:50.337638 | Program started.
2018-02-24 19:59:55.416869 | Program started.
2018-02-24 20:00:08.254386 | Program started.
2018-02-24 20:00:18.620584 | Program started.
2018-02-24 20:01:15.729637 | Program started.
2018-02-24 20:02:33.083109 | Program started.
2018-02-24 20:04:04.905204 | Program started.
